filename,type,status,start_time,estimated_time,print_duration,filament_used,slicer,energy_consumption,average_power,max_power,average_current,max_current
xy_joint_left_lower_MGN12_ABS_3h12m.gcode,job,completed,"Dec 28, 2025 3:28 PM",11519,9120,13162.032,OrcaSlicer 2.3.0,0.589,225.913,524.8,2.201,4.695
a_drive_frame_upper_ABS_6h42m.gcode,job,completed,"Dec 28, 2025 9:56 AM",24125,19469,28943.794,OrcaSlicer 2.3.0,1.159,211.903,538.8,2.064,4.624
a_drive_frame_upper_ABS_18h35m.gcode,job,completed,"Dec 27, 2025 9:47 AM",66924,50762,82381.497,OrcaSlicer 2.3.0,2.872,203.951,546.6,1.975,4.752
SpeedTestStructure_ABS_32m55s.gcode,job,cancelled,"Dec 20, 2025 2:51 PM",1975,956,7064.804,OrcaSlicer 2.3.0,0.171,321.376,569.3,2.944,4.997
Body1_ABS_1d5h26m.gcode,job,completed,"Dec 19, 2025 8:07 AM",105949,98193,113614.405,OrcaSlicer 2.3.0,5.323,195.046,556.4,1.881,4.77
SpeedTestStructure_ABS_32m55s.gcode,job,completed,"Dec 19, 2025 7:45 AM",1975,1069,20412.835,OrcaSlicer 2.3.0,0.088,258.708,548.7,2.498,4.666
SpeedTestStructure_ABS_32m55s.gcode,job,completed,"Dec 19, 2025 6:57 AM",1975,1618,20411.835,OrcaSlicer 2.3.0,0.118,240.593,554.7,2.312,4.785
Body1_ABS_13h21m.gcode,job,completed,"Dec 18, 2025 3:21 PM",48030,43902,77944.571,OrcaSlicer 2.3.0,2.476,203.871,560.8,1.946,4.823
Rugged Box - Draw Latch_ABS_2h19m.gcode,job,completed,"Dec 14, 2025 11:02 AM",8320,6914,8941.001,OrcaSlicer 2.3.0,0.45,233.518,547.8,2.213,4.725
Rugged Box - bottom 6x6x6 stacking_ABS_16h8m.gcode,job,completed,"Dec 13, 2025 7:46 PM",58060,53283,108057.816,OrcaSlicer 2.3.0,2.859,194.013,560,1.874,4.771
UHP_200_din_bracket_x2_ABS_1h26m.gcode,job,completed,"May 7, 2025 6:04 PM",5165,4901,8690.645,OrcaSlicer 2.2.0,--,--,--,--,--
Body1_ABS_10h8m.gcode,job,completed,"May 4, 2025 5:15 PM",36490,31603,64148.402,OrcaSlicer 2.2.0,--,--,--,--,--
Pauls LED Clips 1515 Angled (1)_ABS_58m2s.gcode,job,completed,"May 4, 2025 2:39 PM",3482,3539,3914.893,OrcaSlicer 2.2.0,--,--,--,--,--
unchained down_ABS_1h33m.gcode,job,completed,"May 4, 2025 1:03 PM",5579,5468,9572.227,OrcaSlicer 2.2.0,--,--,--,--,--
unchained down_ABS_1h33m.gcode,job,error,"May 4, 2025 12:39 PM",5579,0,0,OrcaSlicer 2.2.0,--,--,--,--,--
[a]_pg7_umbilical_z_chain_3_hole_x1_ABS_1h49m.gcode,job,completed,"May 4, 2025 10:41 AM",6544,6304,8359.102,OrcaSlicer 2.2.0,--,--,--,--,--
NoDropNut_15mm_ABS_12m55s.gcode,job,error,"May 4, 2025 8:50 AM",775,0,0,OrcaSlicer 2.2.0,--,--,--,--,--
NoDropNut_15mm_ABS_12m55s.gcode,job,completed,"May 4, 2025 8:14 AM",775,794,700.715,OrcaSlicer 2.2.0,--,--,--,--,--
180_long_m2_nut_adapter_x6_ABS_38m31s.gcode,job,completed,"May 1, 2025 7:15 PM",2311,2359,3019.874,OrcaSlicer 2.2.0,--,--,--,--,--
